muestra	archivo	subtipo	segmento	header_original	longitud_total	N_total	primera_base_real	ultima_base_real	longitud_cubierta	cobertura_pct_aprox	N_internas	porcentaje_N_internas	calidad	utilizable
IonXpress_089_232590630	IonXpress_089_232590630.consensus.fasta	H1N1	HA	A_HA_H1	1752	112	35	1690	1656	92.0	16	0.97	Buena	Sí
IonXpress_089_232590630	IonXpress_089_232590630.consensus.fasta	H1N1	NA	A_NA_N1	1433	55	29	1406	1378	88.9	0	0.0	Aceptable	Sí
IonXpress_089_232600628	IonXpress_089_232600628.consensus.fasta	H3N2	HA	A_HA_H3	1718	150	33	1689	1657	92.06	89	5.37	Dudosa	Sí
IonXpress_089_232600628	IonXpress_089_232600628.consensus.fasta	H3N2	NA	A_NA_N2	1439	94	35	1385	1351	87.16	6	0.44	Aceptable	Sí
IonXpress_089_232612987	IonXpress_089_232612987.consensus.fasta	H1N1	HA	A_HA_H1	1752	87	35	1699	1665	92.5	0	0.0	Buena	Sí
IonXpress_089_232612987	IonXpress_089_232612987.consensus.fasta	H1N1	NA	A_NA_N1	1433	60	29	1401	1373	88.58	0	0.0	Aceptable	Sí
IonXpress_090_232571430	IonXpress_090_232571430.consensus.fasta	H1N1	HA	A_HA_H1	1752	235	171	1699	1529	84.94	12	0.78	Aceptable	Sí
IonXpress_090_232571430	IonXpress_090_232571430.consensus.fasta	H1N1	NA	A_NA_N1	1433	88	39	1403	1365	88.06	20	1.47	Aceptable	Sí
IonXpress_090_232575651	IonXpress_090_232575651.consensus.fasta	H1N1	HA	A_HA_H1	1752	354	283	1688	1406	78.11	8	0.57	Dudosa	Sí
IonXpress_090_232575651	IonXpress_090_232575651.consensus.fasta	H1N1	NA	A_NA_N1	1433	169	29	1401	1373	88.58	109	7.94	Dudosa	Sí
IonXpress_090_232582696	IonXpress_090_232582696.consensus.fasta	H3N2	HA	A_HA_H3	1718	1718			0	0	0	100	Excluir	No
IonXpress_090_232582696	IonXpress_090_232582696.consensus.fasta	H1N1	NA	A_NA_N1	1433	1413	1032	1051	20	1.29	0	0.0	Excluir	No
IonXpress_090_232585591	IonXpress_090_232585591.consensus.fasta	H3N2	HA	A_HA_H3	1718	743	142	1443	1302	72.33	327	25.12	Excluir	No
IonXpress_090_232585591	IonXpress_090_232585591.consensus.fasta	H3N2	NA	A_NA_N2	1439	347	154	1377	1224	78.97	132	10.78	Dudosa	Sí
IonXpress_090_232586597	IonXpress_090_232586597.consensus.fasta	H1N1	HA	A_HA_H1	1752	233	172	1690	1519	84.39	0	0.0	Aceptable	Sí
IonXpress_090_232586597	IonXpress_090_232586597.consensus.fasta	H1N1	NA	A_NA_N1	1433	168	29	1401	1373	88.58	108	7.87	Dudosa	Sí
IonXpress_090_232590650	IonXpress_090_232590650.consensus.fasta	H3N2	HA	A_HA_H3	1718	23	2	1707	1706	94.78	11	0.64	Buena	Sí
IonXpress_090_232590650	IonXpress_090_232590650.consensus.fasta	H3N2	NA	A_NA_N2	1439	77	27	1388	1362	87.87	0	0.0	Aceptable	Sí
IonXpress_090_232600698	IonXpress_090_232600698.consensus.fasta	H1N1	HA	A_HA_H1	1752	171	92	1689	1598	88.78	17	1.06	Aceptable	Sí
IonXpress_090_232600698	IonXpress_090_232600698.consensus.fasta	H1N1	NA	A_NA_N1	1433	155	29	1402	1374	88.65	96	6.99	Dudosa	Sí
IonXpress_090_232612989	IonXpress_090_232612989.consensus.fasta	H1N1	HA	A_HA_H5	1704	1534	994	1163	170	9.44	0	0.0	Excluir	No
IonXpress_090_232612989	IonXpress_090_232612989.consensus.fasta	H1N1	NA	A_NA_N1	1433	843	298	1220	923	59.55	333	36.08	Excluir	No
IonXpress_091_232571889	IonXpress_091_232571889.consensus.fasta	H1N1	HA	A_HA_H1	1756	358	283	1693	1411	78.39	13	0.92	Dudosa	Sí
IonXpress_091_232571889	IonXpress_091_232571889.consensus.fasta	H1N1	NA	A_NA_N1	1433	59	29	1405	1377	88.84	3	0.22	Aceptable	Sí
IonXpress_091_232575655	IonXpress_091_232575655.consensus.fasta	H1N1	HA	A_HA_H1	1752	104	35	1694	1660	92.22	12	0.72	Buena	Sí
IonXpress_091_232575655	IonXpress_091_232575655.consensus.fasta	H1N1	NA	A_NA_N1	1433	59	29	1402	1374	88.65	0	0.0	Aceptable	Sí
IonXpress_091_232582700	IonXpress_091_232582700.consensus.fasta	H1N1	HA	A_HA_H1	1752	1339	331	1041	711	39.5	298	41.91	Excluir	No
IonXpress_091_232582700	IonXpress_091_232582700.consensus.fasta	H1N1	NA	A_NA_N1	1433	1028	483	1220	738	47.61	333	45.12	Excluir	No
IonXpress_091_232585633	IonXpress_091_232585633.consensus.fasta	H3N2	HA	A_HA_H3	1718	837	156	1453	1298	72.11	417	32.13	Excluir	No
IonXpress_091_232585633	IonXpress_091_232585633.consensus.fasta	H3N2	NA	A_NA_N2	1439	279	154	1365	1212	78.19	52	4.29	Dudosa	Sí
IonXpress_091_232586892	IonXpress_091_232586892.consensus.fasta	H1N1	HA	A_HA_H1	1752	238	159	1690	1532	85.11	18	1.17	Aceptable	Sí
IonXpress_091_232586892	IonXpress_091_232586892.consensus.fasta	H1N1	NA	A_NA_N1	1433	152	29	1402	1374	88.65	93	6.77	Dudosa	Sí
IonXpress_091_232590913	IonXpress_091_232590913.consensus.fasta	H1N1	HA	A_HA_H1	1752	112	51	1690	1640	91.11	0	0.0	Buena	Sí
IonXpress_091_232590913	IonXpress_091_232590913.consensus.fasta	H1N1	NA	A_NA_N1	1433	59	29	1402	1374	88.65	0	0.0	Aceptable	Sí
IonXpress_091_232600710	IonXpress_091_232600710.consensus.fasta	H3N2	HA	A_HA_H3	1718	41	18	1701	1684	93.56	7	0.42	Buena	Sí
IonXpress_091_232600710	IonXpress_091_232600710.consensus.fasta	H3N2	NA	A_NA_N2	1439	106	48	1388	1341	86.52	8	0.6	Aceptable	Sí
IonXpress_091_232612990	IonXpress_091_232612990.consensus.fasta	H3N2	HA	A_HA_H3	1718	70	2	1689	1688	93.78	40	2.37	Aceptable	Sí
IonXpress_091_232612990	IonXpress_091_232612990.consensus.fasta	H3N2	NA	A_NA_N2	1439	88	35	1385	1351	87.16	0	0.0	Aceptable	Sí
IonXpress_092_232571922	IonXpress_092_232571922.consensus.fasta	H1N1	HA	A_HA_H1	1752	149	63	1688	1626	90.33	23	1.41	Aceptable	Sí
IonXpress_092_232571922	IonXpress_092_232571922.consensus.fasta	H1N1	NA	A_NA_N1	1433	60	29	1401	1373	88.58	0	0.0	Aceptable	Sí
IonXpress_092_232582712	IonXpress_092_232582712.consensus.fasta	H3N2	HA	A_HA_H3	1721	874	151	1372	1222	67.89	375	30.69	Excluir	No
IonXpress_092_232582712	IonXpress_092_232582712.consensus.fasta	H3N2	NA	A_NA_N2	1439	724	154	1377	1224	78.97	509	41.58	Excluir	No
IonXpress_092_232585735	IonXpress_092_232585735.consensus.fasta	H1N1	HA	A_HA_H1	1752	168	80	1688	1609	89.39	25	1.55	Aceptable	Sí
IonXpress_092_232585735	IonXpress_092_232585735.consensus.fasta	H1N1	NA	A_NA_N1	1433	180	147	1399	1253	80.84	0	0.0	Aceptable	Sí
IonXpress_092_232587060	IonXpress_092_232587060.consensus.fasta	H1N1	HA	A_HA_H1	1752	156	80	1694	1615	89.72	19	1.18	Aceptable	Sí
IonXpress_092_232587060	IonXpress_092_232587060.consensus.fasta	H1N1	NA	A_NA_N1	1433	146	18	1401	1384	89.29	97	7.01	Dudosa	Sí
IonXpress_092_232600024	IonXpress_092_232600024.consensus.fasta	H3N2	HA	A_HA_H3	1718	387	276	1689	1414	78.56	83	5.87	Dudosa	Sí
IonXpress_092_232600024	IonXpress_092_232600024.consensus.fasta	H3N2	NA	A_NA_N2	1439	188	124	1385	1262	81.42	11	0.87	Aceptable	Sí
IonXpress_092_232600784	IonXpress_092_232600784.consensus.fasta	H3N2	HA	A_HA_H3	1718	120	21	1689	1669	92.72	71	4.25	Aceptable	Sí
IonXpress_092_232600784	IonXpress_092_232600784.consensus.fasta	H3N2	NA	A_NA_N2	1439	94	37	1389	1353	87.29	8	0.59	Aceptable	Sí
IonXpress_092_232612991	IonXpress_092_232612991.consensus.fasta	H1N1	HA	A_HA_H1	1752	156	87	1699	1613	89.61	17	1.05	Aceptable	Sí
IonXpress_092_232612991	IonXpress_092_232612991.consensus.fasta	H1N1	NA	A_NA_N1	1433	136	29	1402	1374	88.65	77	5.6	Dudosa	Sí
IonXpress_093_232571978	IonXpress_093_232571978.consensus.fasta	H1N1	HA	A_HA_H1	1752	244	157	1688	1532	85.11	24	1.57	Aceptable	Sí
IonXpress_093_232571978	IonXpress_093_232571978.consensus.fasta	H1N1	NA	A_NA_N1	1433	254	203	1401	1199	77.35	20	1.67	Dudosa	Sí
IonXpress_093_232575684	IonXpress_093_232575684.consensus.fasta	H3N2	HA	A_HA_H3	1718	160	32	1689	1658	92.11	100	6.03	Dudosa	Sí
IonXpress_093_232575684	IonXpress_093_232575684.consensus.fasta	H3N2	NA	A_NA_N2	1439	99	37	1385	1349	87.03	9	0.67	Aceptable	Sí
IonXpress_093_232585766	IonXpress_093_232585766.consensus.fasta	H3N2	HA	A_HA_H3	1718	95	55	1677	1623	90.17	0	0.0	Buena	Sí
IonXpress_093_232585766	IonXpress_093_232585766.consensus.fasta	H3N2	NA	A_NA_N2	1439	186	126	1378	1253	80.84	0	0.0	Aceptable	Sí
IonXpress_093_232587086	IonXpress_093_232587086.consensus.fasta	H1N1	HA	A_HA_H1	1752	91	34	1694	1661	92.28	0	0.0	Buena	Sí
IonXpress_093_232587086	IonXpress_093_232587086.consensus.fasta	H1N1	NA	A_NA_N1	1433	46	18	1404	1387	89.48	0	0.0	Aceptable	Sí
IonXpress_093_232600042	IonXpress_093_232600042.consensus.fasta	H3N2	HA	A_HA_H3	1718	277	141	1689	1549	86.06	108	6.97	Dudosa	Sí
IonXpress_093_232600042	IonXpress_093_232600042.consensus.fasta	H3N2	NA	A_NA_N2	1439	226	154	1385	1232	79.48	19	1.54	Dudosa	Sí
IonXpress_093_232600792	IonXpress_093_232600792.consensus.fasta	H3N2	HA	A_HA_H3	1718	143	32	1689	1658	92.11	83	5.01	Dudosa	Sí
IonXpress_093_232600792	IonXpress_093_232600792.consensus.fasta	H3N2	NA	A_NA_N2	1439	120	48	1385	1338	86.32	19	1.42	Aceptable	Sí
IonXpress_093_232612992	IonXpress_093_232612992.consensus.fasta	H1N1	HA	A_HA_H5	1704	1021	333	1598	1266	70.33	583	46.05	Excluir	No
IonXpress_093_232612992	IonXpress_093_232612992.consensus.fasta	H1N1	NA	A_NA_N1	1433	729	311	1220	910	58.71	206	22.64	Excluir	No
IonXpress_094_232572106	IonXpress_094_232572106.consensus.fasta	H1N1	HA	A_HA_H1	1752	241	155	1688	1534	85.22	23	1.5	Aceptable	Sí
IonXpress_094_232572106	IonXpress_094_232572106.consensus.fasta	H1N1	NA	A_NA_N1	1433	415	384	1401	1018	65.68	0	0.0	Dudosa	Sí
IonXpress_094_232575901	IonXpress_094_232575901.consensus.fasta	H1N1	HA	A_HA_H1	1752	106	35	1694	1660	92.22	14	0.84	Buena	Sí
IonXpress_094_232575901	IonXpress_094_232575901.consensus.fasta	H1N1	NA	A_NA_N1	1433	58	29	1403	1375	88.71	0	0.0	Aceptable	Sí
IonXpress_094_232585825	IonXpress_094_232585825.consensus.fasta	H1N1	HA	A_HA_H1	1752	246	159	1688	1530	85.0	24	1.57	Aceptable	Sí
IonXpress_094_232585825	IonXpress_094_232585825.consensus.fasta	H1N1	NA	A_NA_N1	1433	189	158	1401	1244	80.26	0	0.0	Aceptable	Sí
IonXpress_094_232587142	IonXpress_094_232587142.consensus.fasta	H3N2	HA	A_HA_H3	1718	974	277	1448	1172	65.11	428	36.52	Excluir	No
IonXpress_094_232587142	IonXpress_094_232587142.consensus.fasta	H3N2	NA	A_NA_N2	1439	1090	167	775	609	39.29	260	42.69	Excluir	No
IonXpress_094_232600915	IonXpress_094_232600915.consensus.fasta	H1N1	HA	A_HA_H1	1752	87	23	1699	1677	93.17	12	0.72	Buena	Sí
IonXpress_094_232600915	IonXpress_094_232600915.consensus.fasta	H1N1	NA	A_NA_N1	1433	55	27	1404	1378	88.9	0	0.0	Aceptable	Sí
IonXpress_094_232612994	IonXpress_094_232612994.consensus.fasta	H3N2	HA	A_HA_H3	1718	101	31	1689	1659	92.17	42	2.53	Aceptable	Sí
IonXpress_094_232612994	IonXpress_094_232612994.consensus.fasta	H3N2	NA	A_NA_N2	1439	97	47	1388	1342	86.58	0	0.0	Aceptable	Sí
